timestamp,s_no,report_week,hospital_code,hospital_type,federal_entity,administrative_entity,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,operability_icu,operability_icu_p,operability_er,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,rrt_staff_nurse,rrt_staff_nurse_nephrologist,arch_beds_count,op_beds_count,op_beds_er_count,nutr_avail,nutr_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wash_failure_sx
2019-11-20,769,46 of 2019,VAR000,type III,Vargas,IVSS,X-rays,It works every day,Yes,0.0,Yes,1,Within 3 days,1899-12-30T02: 00: 00.000Z,SÃ,0.0,,0.0,,Every day,Every day,Every day,nonoperating,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,17.0,0.0,17.0,1.0,16.0,23.0,18.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Has never been,Every day,Every day,140,120,16,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T00: 20: 00.000Z,1899-12-30T00: 00: 00.000Z,4,2,1,16,0,4,2,0,2,6,0,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-22,758,47 of 2019,VAR000,type III,Vargas,IVSS,,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,0.0,,0.0,,Every day,There were no,Every day,nonoperating,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,18.0,0.0,18.0,1.0,17.0,27.0,18.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Has never been,Every day,Every day,140,120,16,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T00: 15: 00.000Z,1899-12-30T00: 00: 00.000Z,4,2,0,16,0,4,2,0,2,6,0,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-23,857,46 of 2019,Car000,type IV,Carabobo,IVSS,,There does not work,Yes,,Yes,1,Within 3 days,1899-12-30T03: 00: 00.000Z,Do not,,,,,Days 3 to 5,There were no,Days 3 to 5,nonoperating,nonoperating,Every day,Every day,Every day,Has never been,Has never been,nonoperating,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Days 3 to 5,SÃ,SÃ,4.0,0.0,4.0,1.0,3.0,5.0,3.0,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Days 3 to 5,There were no,456,206,56,Do not,,,,,,1899-12-30T06: 00: 00.000Z,1899-12-30T12: 00: 00.000Z,30,30,0,30,10,12,8,0,8,6,0,There was no water any public day,There was no water any public day,There was no water any public day
2019-11-23,719,47 of 2019,TAC001,type IV,Tachira,Gob. State,,It works every day,Yes,,Yes,2,Within 3 days,1899-12-30T01: 00: 00.000Z,Do not,,,,,Every day,There were no,There were no,Every day,Every day,Every day,Every day,Less than 3 days,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,There were no,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Every day,There were no,There were no,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,10.0,4.0,6.0,0.0,10.0,12.0,3.0,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,There were no,Every day,There were no,Every day,900,300,80,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1900-01-01T00: 00: 00.000Z,1899-12-30T00: 15: 00.000Z,10,3,4,7,5,8,2,3,3,7,4,"<3 days, with alternate support","<3 days, with alternate support","<3 days, with alternate support"
2019-11-23,46,47 of 2019,ANZ000,type IV,Anzoategui,MPPS,,It works every day,Yes,,Yes,2,Days 3 to 5,1899-12-30T03: 00: 00.000Z,Do not,2.0,"Medicines, electric light © ctrica",4.0,Medicines,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,Every day,Every day,Every day,There were no,Every day,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Every day,There were no,There were no,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,320,220,45,Do not,,,,,,1899-12-30T00: 30: 00.000Z,1899-12-30T01: 00: 00.000Z,21,18,8,24,12,21,18,8,7,12,6,"<3 days, with alternate support","<3 days, with alternate support","<3 days, with alternate support"
2019-11-23,417,47 of 2019,APU000,type III,Apure,"MPPS, Gob. State",,It works every day,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,Every day,There were no,There were no,Every day,Every day,Every day,Every day,Days 3 to 5,Has never been,Has never been,Less than 3 days,Every day,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,Between 1 and 2 days,Every day,Between 1 and 2 days,There were no,Every day,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,SÃ,SÃ,14.0,0.0,14.0,2.0,12.0,4.0,4.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,any public day,Every day,Every day,Every day,Every day,Has never been,200,170,25,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T00: 35: 00.000Z,1899-12-30T00: 25: 00.000Z,18,10,2,13,2,18,5,2,3,12,1,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-23,892,47 of 2019,FAL000,type IV,Falcon,Gob. State,"Lamps, monitors, tomograph",It works every day,Yes,0.0,Yes,3,Days 3 to 5,1899-12-30T03: 00: 00.000Z,SÃ,0.0,,0.0,,There were no,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,48.0,28.0,20.0,20.0,29.0,15.0,15.0,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,There were no,There were no,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,300,251,30,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T02: 58: 00.000Z,1899-12-30T02: 45: 00.000Z,20,5,0,15,6,12,3,0,1,12,6,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-23,912,46 of 2019,FAL000,type IV,Falcon,Gob. State,"Monitors, lamps, cpu, elevator",It works every day,Yes,0.0,Yes,2,Days 3 to 5,1899-12-30T03: 00: 00.000Z,SÃ,2.0,"Equipment, drugs",1.0,Medicines,There were no,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,43.0,27.0,16.0,21.0,20.0,15.0,15.0,Every day,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,300,251,30,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T02: 47: 00.000Z,1899-12-30T02: 23: 00.000Z,21,5,0,16,6,14,3,0,1,10,6,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-23,683,47 of 2019,TAC000,type III,Tachira,IVSS,,It works every day,Yes,,Yes,2,Within 3 days,1899-12-30T00: 45: 00.000Z,Do not,,,,,Every day,There were no,There were no,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,nonoperating,Has never been,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,There were no,Days 3 to 5,Every day,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,8.0,1.0,7.0,0.0,8.0,16.0,5.0,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,There were no,Every day,Every day,There were no,160,80,40,SÃ,Do not,,,,,1899-12-30T02: 00: 00.000Z,1899-12-30T00: 15: 00.000Z,6,2,0,6,5,7,2,0,3,6,5,There was water every day,There was water every day,There was water every day
2019-11-23,177,47 of 2019,Car000,type IV,Carabobo,IVSS,,There does not work,No,,No,1,Within 3 days,1899-12-30T03: 00: 00.000Z,Do not,,,,,,,,nonoperating,nonoperating,Every day,Every day,Every day,Has never been,Has never been,nonoperating,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Has never been,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,Do not,,,,,,,,,,,,,,,,,,,,,,456,206,56,Do not,,,,,,1899-12-30T08: 00: 00.000Z,1899-12-30T08: 00: 00.000Z,30,30,0,30,10,12,8,0,8,6,0,There was no water any public day,There was no water any public day,There was no water any public day
2019-11-23,534,47 of 2019,GUA000,type III,Guarico,MPPS,None,It works every day,Yes,0.0,Yes,5,Within 3 days,1899-12-30T00: 15: 00.000Z,Do not,0.0,,0.0,,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Days 3 to 5,nonoperating,nonoperating,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,8.0,2.0,8.0,0.0,8.0,6.0,2.0,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,Every day,Every day,There were no,Every day,Every day,160,150,22,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 30: 00.000Z,20,12,1,14,0,12,5,1,4,8,0,There was water every day,"3 to 5 days, with alternate support",There was water every day
2019-11-25,477,47 of 2019,CAR001,type IV,Carabobo,"IVSS, MPPS",,It works every day,Yes,,Yes,2,Days 3 to 5,1899-12-30T00: 15: 00.000Z,Do not,5.0,,3.0,,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,SÃ,SÃ,5.0,0.0,3.0,2.0,3.0,3.0,2.0,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Every day,Has never been,Every day,Every day,Every day,300,170,80,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T00: 20: 00.000Z,1899-12-30T00: 05: 00.000Z,25,10,0,30,6,25,10,0,8,25,0,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-25,830,47 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Yes,,Yes,1,Days 3 to 5,1899-12-30T02: 00: 00.000Z,Do not,,,,,There were no,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,SÃ,SÃ,48.0,0.0,48.0,5.0,43.0,,16.0,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,190,48,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,3,2,2,4,2,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-11-25,172,47 of 2019,BOL001,type III,Bolivar,IVSS,0,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,4.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction), lack blood",4.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction), lack Hemoderivados",,,,nonoperating,Every day,Every day,Every day,nonoperating,Has never been,Has never been,nonoperating,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Every day,Days 3 to 5,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,Between 1 and 2 days,Days 3 to 5,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,300,116,52,SÃ,Do not,,,,,1899-12-30T08: 00: 00.000Z,1899-12-30T06: 00: 00.000Z,12,12,2,30,6,10,10,1,3,8,4,There was no water any public day,There was water every day,There was water every day
2019-11-26,576,47 of 2019,MER000,type IV,Merida,MPPS,,It works every day,Yes,,Yes,2,Every day,1899-12-30T02: 00: 00.000Z,Do not,,,,,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,Every day,Every day,Every day,Every day,Every day,nonoperating,nonoperating,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Every day,Every day,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Every day,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,SÃ,SÃ,20.0,0.0,16.0,4.0,16.0,9.0,7.0,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,any public day,Every day,Has never been,Every day,Every day,Every day,818,650,100,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T01: 00: 00.000Z,1899-12-30T01: 00: 00.000Z,2,1,1,2,0,1,1,1,3,1,1,There was water every day,There was water every day,There was water every day
2019-11-26,968,46 of 2019,MON000,type IV,Monagas,MPPS,,It works every day,Yes,0.0,Yes,1,Within 3 days,1899-12-30T02: 00: 00.000Z,Do not,2.0,"Equipment, medicines, structural Rest (water, O2, suction)",0.0,,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,There were no,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,SÃ,SÃ,20.0,8.0,20.0,0.0,20.0,12.0,4.0,Days 3 to 5,Days 3 to 5,There were no,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Every day,Days 3 to 5,Days 3 to 5,Every day,Between 1 and 2 days,Days 3 to 5,180,150,50,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T12: 00: 00.000Z,1899-12-30T10: 00: 00.000Z,8,5,6,4,5,5,0,4,4,3,4,"<3 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-26,969,45 2019,MON000,type IV,Monagas,MPPS,lifts,It works every day,Yes,0.0,Yes,1,Within 3 days,1899-12-30T02: 00: 00.000Z,SÃ,3.0,"Equipment, drugs",2.0,"Equipment, medicines, structural Rest (water, O2, suction)",Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,There were no,Days 3 to 5,There were no,Between 1 and 2 days,There were no,There were no,There were no,Days 3 to 5,SÃ,SÃ,20.0,8.0,20.0,,20.0,12.0,4.0,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Every day,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,180,150,50,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T12: 00: 00.000Z,1899-12-30T08: 00: 00.000Z,12,5,8,3,4,6,0,3,4,3,4,"<3 days, no alternative support (tanks)","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-11-26,636,47 of 2019,POR000,type III,Portuguesa,"MPPS, Gob. State",,It works every day,Yes,,Yes,3,Every day,1899-12-30T00: 30: 00.000Z,Do not,2.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",2.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",Days 3 to 5,There were no,Between 1 and 2 days,Every day,Has never been,Every day,Every day,nonoperating,Days 3 to 5,Has never been,nonoperating,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,There were no,There were no,SÃ,SÃ,11.0,0.0,11.0,11.0,0.0,6.0,5.0,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,There were no,250,230,30,SÃ,SÃ,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T08: 00: 00.000Z,1899-12-30T01: 00: 00.000Z,2,2,4,5,7,3,2,4,36,4,4,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-11-26,281,47 of 2019,DCA004,type IV,Dtto Capital,MPPS,,It works every day,Yes,,Yes,2,Within 3 days,1899-12-30T10: 00: 00.000Z,Do not,,,,,,,,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Every day,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Every day,There were no,Every day,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,515,254,4,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,2,1,0,3,1,1,1,0,3,2,0,"<3 days, no alternative support (tanks)","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-11-26,350,47 of 2019,DCA006,type IV,Dtto Capital,MPPS,0,There does not work,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,1.0,Team Human Resource,0.0,Human resource,,,,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,470,250,13,SÃ,Do not,,,,,1899-12-30T01: 00: 00.000Z,1899-12-30T00: 30: 00.000Z,8,4,0,5,0,8,2,0,2,4,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-11-27,512,47 of 2019,DCA002,type IV,Dtto Capital,MPPS,,There does not work,Yes,0.0,Yes,1,Within 3 days,1899-12-30T00: 05: 00.000Z,Do not,0.0,,0.0,,Every day,Between 1 and 2 days,Between 1 and 2 days,Has never been,Every day,Every day,Days 3 to 5,Less than 3 days,nonoperating,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Every day,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Every day,SÃ,SÃ,12.0,0.0,,,,10.0,8.0,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,any public day,Every day,Has never been,Every day,Between 1 and 2 days,Days 3 to 5,95,42,15,SÃ,Do not,,,,,1899-12-30T00: 45: 00.000Z,1899-12-30T00: 00: 00.000Z,5,1,0,2,2,5,1,0,1,1,3,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
